month,channel,spend,impressions,clicks,conversions,revenue,cac,roas
2025-01,Influencer - Macro,1158.51,77500,1550,93,2967.83,12.46,2.56
2025-01,Influencer - Micro,230.51,15833,475,38,1244.42,6.07,5.4
2025-01,Paid Social,521.5,120000,1440,36,1203.13,14.49,2.31
2025-02,Influencer - Macro,240.12,19150,383,23,724.54,10.44,3.02
2025-02,Influencer - Micro,185.31,10833,325,26,845.7,7.13,4.56
2025-02,Paid Social,655.82,133333,1600,40,1266.18,16.4,1.93
2025-03,Influencer - Macro,118.13,7500,150,9,280.54,13.13,2.37
2025-03,Influencer - Micro,155.22,10000,300,24,748.55,6.47,4.82
2025-03,Paid Social,713.18,123333,1480,37,1156.32,19.28,1.62
2025-04,Influencer - Macro,147.52,9150,183,11,362.33,13.41,2.46
2025-04,Influencer - Micro,87.39,7066,212,17,562.79,5.14,6.44
2025-04,Paid Social,856.62,136666,1640,41,1323.4,20.89,1.54
2025-05,Influencer - Macro,54.44,5000,100,6,173.8,9.07,3.19
2025-05,Influencer - Micro,63.69,4166,125,10,316.62,6.37,4.97
2025-05,Paid Social,1070.1,156666,1880,47,1484.43,22.77,1.39
2025-06,Influencer - Macro,90.42,7500,150,9,291.42,10.05,3.22
2025-06,Influencer - Micro,50.41,4166,125,10,324.65,5.04,6.44
2025-06,Paid Social,1156.57,156666,1880,47,1512.34,24.61,1.31
2025-07,Influencer - Macro,97.53,6650,133,8,263.87,12.19,2.71
2025-07,Influencer - Micro,103.18,6233,187,15,487.32,6.88,4.72
2025-07,Paid Social,996.77,116666,1400,35,1147.13,28.48,1.15
2025-08,Influencer - Macro,46.1,3300,66,4,133.08,11.53,2.89
2025-08,Influencer - Micro,59.5,4166,125,10,291.88,5.95,4.91
2025-08,Paid Social,1035.1,126666,1520,38,1259.32,27.24,1.22
2025-09,Influencer - Macro,59.87,4150,83,5,168.31,11.97,2.81
2025-09,Influencer - Micro,81.41,5833,175,14,462.57,5.81,5.68
2025-09,Paid Social,1128.3,130000,1560,39,1230.54,28.93,1.09
2025-10,Influencer - Macro,150.09,11650,233,14,471.84,10.72,3.14
2025-10,Influencer - Micro,53.19,4166,125,10,333.46,5.32,6.27
2025-10,Paid Social,1124.32,123333,1480,37,1134.19,30.39,1.01
2025-11,Influencer - Macro,253.06,15800,316,19,601.87,13.32,2.38
2025-11,Influencer - Micro,223.9,12900,387,31,949.14,7.22,4.24
2025-11,Paid Social,2306.63,226666,2720,68,2067.82,33.92,0.9
2025-12,Influencer - Macro,131.67,8300,166,10,310.12,13.17,2.36
2025-12,Influencer - Micro,140.29,10000,300,24,791.2,5.85,5.64
2025-12,Paid Social,2072.22,190000,2280,57,1889.75,36.35,0.91
