customer_id,signup_date,acquisition_channel,acquisition_month
1,2025-01-26,Influencer - Macro,2025-01
2,2025-01-05,Influencer - Macro,2025-01
3,2025-01-17,Influencer - Macro,2025-01
4,2025-01-01,Influencer - Micro,2025-01
5,2025-01-23,Influencer - Macro,2025-01
6,2025-01-27,Paid Social,2025-01
7,2025-01-08,Paid Social,2025-01
8,2025-01-24,Influencer - Macro,2025-01
9,2025-01-29,Paid Social,2025-01
10,2025-01-09,Paid Social,2025-01
11,2025-01-31,Influencer - Macro,2025-01
12,2025-01-29,Influencer - Macro,2025-01
13,2025-01-06,Influencer - Micro,2025-01
14,2025-01-25,Influencer - Macro,2025-01
15,2025-01-08,Influencer - Macro,2025-01
16,2025-01-13,Influencer - Macro,2025-01
17,2025-01-17,Paid Social,2025-01
18,2025-01-08,Influencer - Micro,2025-01
19,2025-01-20,Paid Social,2025-01
20,2025-01-17,Paid Social,2025-01
21,2025-01-15,Influencer - Macro,2025-01
22,2025-01-09,Influencer - Micro,2025-01
23,2025-01-14,Influencer - Macro,2025-01
24,2025-01-30,Influencer - Macro,2025-01
25,2025-01-11,Influencer - Micro,2025-01
26,2025-01-21,Influencer - Macro,2025-01
27,2025-01-20,Influencer - Micro,2025-01
28,2025-01-07,Paid Social,2025-01
29,2025-01-30,Influencer - Micro,2025-01
30,2025-01-25,Influencer - Micro,2025-01
31,2025-01-20,Influencer - Micro,2025-01
32,2025-01-18,Influencer - Macro,2025-01
33,2025-01-24,Influencer - Macro,2025-01
34,2025-01-21,Influencer - Macro,2025-01
35,2025-01-21,Influencer - Macro,2025-01
36,2025-01-24,Influencer - Macro,2025-01
37,2025-01-23,Paid Social,2025-01
38,2025-01-30,Influencer - Macro,2025-01
39,2025-01-05,Influencer - Macro,2025-01
40,2025-01-27,Influencer - Macro,2025-01
41,2025-01-28,Influencer - Macro,2025-01
42,2025-01-02,Influencer - Micro,2025-01
43,2025-01-23,Influencer - Micro,2025-01
44,2025-01-10,Paid Social,2025-01
45,2025-01-23,Influencer - Micro,2025-01
46,2025-01-02,Influencer - Macro,2025-01
47,2025-01-02,Paid Social,2025-01
48,2025-01-28,Influencer - Macro,2025-01
49,2025-01-29,Influencer - Macro,2025-01
50,2025-01-19,Influencer - Macro,2025-01
51,2025-01-27,Paid Social,2025-01
52,2025-01-29,Influencer - Macro,2025-01
53,2025-01-17,Influencer - Macro,2025-01
54,2025-01-23,Influencer - Micro,2025-01
55,2025-01-23,Influencer - Macro,2025-01
56,2025-01-13,Influencer - Micro,2025-01
57,2025-01-31,Influencer - Macro,2025-01
58,2025-01-13,Influencer - Macro,2025-01
59,2025-01-14,Influencer - Macro,2025-01
60,2025-01-22,Influencer - Micro,2025-01
61,2025-01-05,Influencer - Macro,2025-01
62,2025-01-14,Influencer - Macro,2025-01
63,2025-01-29,Influencer - Macro,2025-01
64,2025-01-05,Organic & Referral,2025-01
65,2025-01-19,Organic & Referral,2025-01
66,2025-01-20,Influencer - Micro,2025-01
67,2025-01-07,Influencer - Macro,2025-01
68,2025-01-30,Organic & Referral,2025-01
69,2025-01-04,Paid Social,2025-01
70,2025-01-09,Paid Social,2025-01
71,2025-01-12,Influencer - Macro,2025-01
72,2025-01-27,Influencer - Macro,2025-01
73,2025-01-11,Influencer - Macro,2025-01
74,2025-01-24,Organic & Referral,2025-01
75,2025-01-12,Influencer - Macro,2025-01
76,2025-01-24,Influencer - Macro,2025-01
77,2025-01-22,Influencer - Macro,2025-01
78,2025-01-01,Influencer - Micro,2025-01
79,2025-01-06,Influencer - Macro,2025-01
80,2025-01-31,Paid Social,2025-01
81,2025-01-31,Paid Social,2025-01
82,2025-01-13,Paid Social,2025-01
83,2025-01-30,Influencer - Macro,2025-01
84,2025-01-16,Influencer - Micro,2025-01
85,2025-01-03,Influencer - Micro,2025-01
86,2025-01-20,Influencer - Micro,2025-01
87,2025-01-29,Influencer - Macro,2025-01
88,2025-01-22,Influencer - Macro,2025-01
89,2025-01-10,Influencer - Macro,2025-01
90,2025-01-19,Influencer - Macro,2025-01
91,2025-01-13,Influencer - Macro,2025-01
92,2025-01-22,Influencer - Macro,2025-01
93,2025-01-18,Influencer - Macro,2025-01
94,2025-01-17,Influencer - Micro,2025-01
95,2025-01-28,Influencer - Macro,2025-01
96,2025-01-16,Organic & Referral,2025-01
97,2025-01-15,Influencer - Micro,2025-01
98,2025-01-26,Influencer - Macro,2025-01
99,2025-01-13,Influencer - Micro,2025-01
100,2025-01-28,Influencer - Macro,2025-01
101,2025-01-08,Organic & Referral,2025-01
102,2025-01-18,Influencer - Macro,2025-01
103,2025-01-26,Paid Social,2025-01
104,2025-01-02,Influencer - Macro,2025-01
105,2025-01-23,Influencer - Macro,2025-01
106,2025-01-08,Influencer - Macro,2025-01
107,2025-01-09,Organic & Referral,2025-01
108,2025-01-25,Influencer - Micro,2025-01
109,2025-01-14,Influencer - Macro,2025-01
110,2025-01-27,Influencer - Macro,2025-01
111,2025-01-14,Influencer - Macro,2025-01
