order_id,customer_id,order_date,order_value,is_first_order
1,1,2025-01-26,29.58,True
2,2,2025-01-06,34.69,True
3,3,2025-01-17,28.52,True
4,3,2025-03-30,37.06,False
5,3,2025-06-08,36.54,False
6,4,2025-01-03,41.38,True
7,5,2025-01-25,24.68,True
8,6,2025-01-27,38.03,True
9,7,2025-01-10,21.26,True
10,8,2025-01-25,29.35,True
11,9,2025-01-30,31.53,True
12,10,2025-01-10,42.65,True
13,11,2025-02-02,41.18,True
14,11,2025-05-01,33.79,False
15,11,2025-06-13,46.37,False
16,12,2025-01-29,35.89,True
17,12,2025-03-18,35.2,False
18,12,2025-05-12,34.57,False
19,12,2025-07-01,32.67,False
20,13,2025-01-07,32.78,True
21,13,2025-03-25,36.32,False
22,14,2025-01-27,33.58,True
23,14,2025-04-25,48.56,False
24,15,2025-01-10,28.18,True
25,16,2025-01-15,26.44,True
26,17,2025-01-17,34.4,True
27,17,2025-02-28,41.56,False
28,18,2025-01-10,29.64,True
29,19,2025-01-21,30.54,True
30,19,2025-04-16,36.92,False
31,20,2025-01-19,30.82,True
32,21,2025-01-15,30.14,True
33,22,2025-01-09,40.64,True
34,22,2025-03-12,41.18,False
35,23,2025-01-15,26.74,True
36,23,2025-04-08,39.5,False
37,24,2025-02-01,34.2,True
38,25,2025-01-12,36.14,True
39,26,2025-01-23,28.51,True
40,27,2025-01-20,35.91,True
41,28,2025-01-09,37.86,True
42,28,2025-02-25,46.92,False
43,28,2025-05-04,35.6,False
44,29,2025-01-30,39.56,True
45,30,2025-01-27,26.93,True
46,30,2025-04-20,28.7,False
47,30,2025-06-27,32.09,False
48,31,2025-01-20,20.54,True
49,32,2025-01-20,34.07,True
50,33,2025-01-24,29.04,True
51,33,2025-04-06,26.51,False
52,33,2025-06-11,41.08,False
53,34,2025-01-21,37.34,True
54,35,2025-01-23,33.35,True
55,36,2025-01-25,31.24,True
56,36,2025-03-23,42.0,False
57,37,2025-01-24,39.41,True
58,38,2025-02-01,33.01,True
59,39,2025-01-06,38.64,True
60,40,2025-01-29,34.77,True
61,41,2025-01-29,21.98,True
62,42,2025-01-04,32.54,True
63,43,2025-01-25,25.74,True
64,44,2025-01-11,34.2,True
65,45,2025-01-25,24.94,True
66,46,2025-01-04,29.64,True
67,47,2025-01-02,32.69,True
68,47,2025-03-20,39.18,False
69,48,2025-01-29,32.98,True
70,48,2025-03-17,33.64,False
71,49,2025-01-29,31.41,True
72,49,2025-04-24,28.22,False
73,50,2025-01-19,28.61,True
74,51,2025-01-29,32.99,True
75,52,2025-01-31,31.65,True
76,52,2025-04-27,35.41,False
77,53,2025-01-18,27.81,True
78,53,2025-04-12,30.67,False
79,54,2025-01-23,40.6,True
80,55,2025-01-24,26.8,True
81,55,2025-03-07,35.21,False
82,56,2025-01-13,28.97,True
83,56,2025-03-14,32.07,False
84,57,2025-01-31,33.64,True
85,57,2025-04-16,43.92,False
86,58,2025-01-14,37.34,True
87,59,2025-01-16,33.92,True
88,60,2025-01-23,41.76,True
89,60,2025-04-26,36.96,False
90,61,2025-01-06,33.67,True
91,62,2025-01-16,27.83,True
92,62,2025-03-19,23.56,False
93,63,2025-01-29,30.53,True
94,64,2025-01-05,27.19,True
95,65,2025-01-21,30.58,True
96,66,2025-01-20,30.3,True
97,67,2025-01-08,32.03,True
98,68,2025-01-31,39.17,True
99,69,2025-01-06,31.72,True
100,70,2025-01-11,34.15,True
101,71,2025-01-13,35.06,True
102,71,2025-04-10,38.2,False
103,72,2025-01-28,30.46,True
104,73,2025-01-11,30.32,True
105,74,2025-01-26,38.82,True
106,74,2025-04-23,31.68,False
107,74,2025-06-29,32.74,False
108,75,2025-01-13,29.2,True
109,76,2025-01-24,30.51,True
110,77,2025-01-23,35.95,True
111,78,2025-01-02,28.56,True
112,79,2025-01-08,27.15,True
113,80,2025-02-02,31.04,True
114,81,2025-02-02,39.28,True
115,82,2025-01-13,39.82,True
116,82,2025-03-17,30.35,False
117,83,2025-01-30,24.17,True
118,83,2025-03-21,42.89,False
119,84,2025-01-16,23.57,True
120,85,2025-01-05,31.1,True
121,86,2025-01-22,33.02,True
122,86,2025-04-13,40.24,False
123,87,2025-01-31,34.78,True
124,88,2025-01-24,31.56,True
125,89,2025-01-11,26.84,True
126,90,2025-01-20,29.43,True
127,90,2025-03-02,38.01,False
128,91,2025-01-14,36.5,True
129,91,2025-03-04,35.04,False
130,92,2025-01-23,32.94,True
131,93,2025-01-18,33.31,True
132,94,2025-01-18,24.73,True
133,95,2025-01-29,30.74,True
134,96,2025-01-18,26.22,True
135,97,2025-01-17,35.57,True
136,98,2025-01-27,27.81,True
137,99,2025-01-15,25.89,True
138,99,2025-04-10,26.09,False
139,99,2025-06-29,33.46,False
140,100,2025-01-30,33.21,True
141,101,2025-01-09,29.11,True
142,101,2025-03-02,32.18,False
143,102,2025-01-19,34.24,True
144,103,2025-01-28,26.83,True
145,104,2025-01-04,34.23,True
146,105,2025-01-25,35.57,True
147,105,2025-04-15,32.32,False
148,106,2025-01-10,32.16,True
149,107,2025-01-11,34.36,True
150,107,2025-03-30,44.18,False
151,107,2025-06-27,21.52,False
152,108,2025-01-27,29.97,True
153,109,2025-01-15,30.57,True
154,110,2025-01-27,34.9,True
155,111,2025-01-16,35.5,True
156,112,2025-01-20,30.31,True
157,112,2025-03-07,25.62,False
158,113,2025-01-19,41.24,True
159,113,2025-04-19,46.01,False
160,113,2025-06-17,37.92,False
161,114,2025-01-09,38.06,True
162,115,2025-01-22,31.91,True
163,116,2025-02-01,31.59,True
164,117,2025-01-10,34.41,True
165,118,2025-01-13,35.92,True
166,119,2025-01-24,25.42,True
167,120,2025-01-10,43.91,True
168,121,2025-01-05,31.17,True
169,122,2025-01-27,38.26,True
170,123,2025-01-15,29.5,True
171,124,2025-01-27,35.95,True
172,124,2025-03-18,33.25,False
173,125,2025-01-26,30.77,True
174,125,2025-04-27,31.04,False
